Model,Label,Value,Phase,Min,Max,Init,Gradient,Pr_type,Prior,Pr_SD,Pr_Like,LCI95,UCI95
M23_0a,AgeKeyParm7,0,-1,-10,10,0,NA,No_prior,NA,NA,NA,NA,NA
M23_0a,FracFemale_GP_1,0.5,-99,1e-6,0.999999,0.5,NA,No_prior,NA,NA,NA,NA,NA
M23_0a,VonBert_K_Fem_GP_1_BLK1add_1991,0.00430556,4,-0.213434,0.786566,0,-8.84337e-6,Normal,0,0.25,1.48303e-4,-0.213434,0.287267
M23_0a,VonBert_K_Fem_GP_1_BLK1add_2004,0.00301201,4,-0.213434,0.786566,0,-9.211e-6,Normal,0,0.25,7.25778e-5,-0.213434,0.285983
M23_0a,VonBert_K_Fem_GP_1_BLK1add_2018,-0.00731723,4,-0.213434,0.786566,0,-2.47004e-6,Normal,0,0.25,4.28335e-4,-0.213434,0.275728
M23_0a,SR_LN(R0),10.0704,1,1,20,10.3,-1.43022e-5,No_prior,NA,NA,NA,NA,NA
M23_0a,SR_BH_steep,1,-1,0,1,1,NA,No_prior,NA,NA,NA,NA,NA
M23_0a,SR_sigmaR,0.636,-1,0,10,0.636,NA,No_prior,NA,NA,NA,NA,NA
M23_0a,SR_regime,0,-3,-5,5,0,NA,No_prior,NA,NA,NA,NA,NA
M23_0a,SR_autocorr,0,-1,-99,99,0,NA,No_prior,NA,NA,NA,NA,NA
M23_0a,Early_InitAge_10,-0.758714,2,-5,5,0,8.21327e-7,dev,NA,NA,NA,NA,NA
M23_0a,Early_InitAge_9,-0.401075,2,-5,5,0,9.03806e-8,dev,NA,NA,NA,NA,NA
M23_0a,Early_InitAge_8,-0.386817,2,-5,5,0,4.9491e-7,dev,NA,NA,NA,NA,NA
M23_0a,Early_InitAge_7,-0.296721,2,-5,5,0,-9.74353e-8,dev,NA,NA,NA,NA,NA
M23_0a,Early_InitAge_6,-0.361995,2,-5,5,0,-5.80103e-7,dev,NA,NA,NA,NA,NA
M23_0a,Early_InitAge_5,0.447243,2,-5,5,0,4.09092e-7,dev,NA,NA,NA,NA,NA
M23_0a,Early_InitAge_4,0.618342,2,-5,5,0,-5.47905e-7,dev,NA,NA,NA,NA,NA
M23_0a,Early_InitAge_3,-0.29244,2,-5,5,0,6.22311e-7,dev,NA,NA,NA,NA,NA
M23_0a,Early_InitAge_2,1.02022,2,-5,5,0,-2.02391e-7,dev,NA,NA,NA,NA,NA
M23_0a,Early_InitAge_1,-0.19465,2,-5,5,0,1.41211e-6,dev,NA,NA,NA,NA,NA
M23_0a,Main_RecrDev_1991,-0.196835,1,-5,5,0,-1.39604e-6,dev,NA,NA,NA,NA,NA
M23_0a,Main_RecrDev_1992,0.110201,1,-5,5,0,7.87905e-7,dev,NA,NA,NA,NA,NA
M23_0a,Main_RecrDev_1993,0.758475,1,-5,5,0,-8.63704e-7,dev,NA,NA,NA,NA,NA
M23_0a,Main_RecrDev_1994,-0.168059,1,-5,5,0,1.10295e-6,dev,NA,NA,NA,NA,NA
M23_0a,Main_RecrDev_1995,0.532538,1,-5,5,0,-4.45082e-7,dev,NA,NA,NA,NA,NA
M23_0a,Main_RecrDev_1996,0.801613,1,-5,5,0,-7.17073e-7,dev,NA,NA,NA,NA,NA
M23_0a,Main_RecrDev_1997,0.707355,1,-5,5,0,-7.16048e-7,dev,NA,NA,NA,NA,NA
M23_0a,Main_RecrDev_1998,0.376809,1,-5,5,0,-1.13768e-7,dev,NA,NA,NA,NA,NA
M23_0a,Main_RecrDev_1999,0.391435,1,-5,5,0,-9.53861e-7,dev,NA,NA,NA,NA,NA
M23_0a,Main_RecrDev_2000,1.09789,1,-5,5,0,-8.67935e-7,dev,NA,NA,NA,NA,NA
M23_0a,Main_RecrDev_2001,0.0930353,1,-5,5,0,-4.1099e-7,dev,NA,NA,NA,NA,NA
M23_0a,Main_RecrDev_2002,-0.0340587,1,-5,5,0,-5.32433e-8,dev,NA,NA,NA,NA,NA
M23_0a,Main_RecrDev_2003,-0.117148,1,-5,5,0,-1.31984e-6,dev,NA,NA,NA,NA,NA
M23_0a,Main_RecrDev_2004,-0.414156,1,-5,5,0,1.84948e-6,dev,NA,NA,NA,NA,NA
M23_0a,Main_RecrDev_2005,0.263427,1,-5,5,0,-1.023e-6,dev,NA,NA,NA,NA,NA
M23_0a,Main_RecrDev_2006,-0.223004,1,-5,5,0,-6.13568e-7,dev,NA,NA,NA,NA,NA
M23_0a,Main_RecrDev_2007,0.18058,1,-5,5,0,-3.8305e-7,dev,NA,NA,NA,NA,NA
M23_0a,Main_RecrDev_2008,-0.0411528,1,-5,5,0,-8.33305e-7,dev,NA,NA,NA,NA,NA
M23_0a,Main_RecrDev_2009,-0.832027,1,-5,5,0,1.15385e-6,dev,NA,NA,NA,NA,NA
M23_0a,Main_RecrDev_2010,-0.371929,1,-5,5,0,-8.77323e-7,dev,NA,NA,NA,NA,NA
M23_0a,Main_RecrDev_2011,-0.659637,1,-5,5,0,-4.116e-7,dev,NA,NA,NA,NA,NA
